0	14	放火	2047	1	1	2	1	1	0	1	2	0	2
1	16	爆炸	169	1	1	2	1	1	0	1	2	0	2
2	19	失火	3373	1	1	2	1	1	0	1	2	1	2
3	25	破坏交通设施	24	1	1	2	1	1	2	1	2	0	2
4	26	破坏电力设备	270	1	1	2	1	1	2	1	2	0	2
5	27	破坏易燃易爆设备	168	1	1	2	1	1	2	1	2	0	2
6	36	破坏广播电视设施、公用电信设施	347	1	1	1	1	1	2	1	1	0	2
7	37	过失损坏广播电视设施、公用电信设施	35	1	1	1	1	1	2	1	1	1	2
8	38	非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物	1676	0	0	1	1	1	1	1	1	0	1
9	43	非法持有、私藏枪支、弹药	12759	1	1	1	1	1	1	0	1	0	1
10	46	非法携带枪支、弹药、管制刀具、危险物品危及公共安全	45	1	1	2	1	1	0	1	2	0	1
11	49	交通肇事	30337	1	1	0	1	1	0	1	0	1	1
12	50	重大责任事故	1424	1	1	0	1	1	1	1	0	1	0
13	51	重大劳动安全事故	303	1	1	0	1	1	1	1	0	1	0
14	52	危险物品肇事	27	1	1	0	1	1	1	1	0	1	0
15	56	投放危险物质	297	1	1	2	1	1	0	1	2	0	2
16	59	非法制造、买卖、运输、储存危险物质	44	0	0	1	1	1	1	1	1	0	1
17	65	危险驾驶	34437	1	1	1	1	1	0	1	1	0	1
18	68	生产、销售伪劣产品	677	0	0	1	1	1	1	1	1	0	1
19	69	生产、销售假药	4109	0	0	2	1	1	1	1	2	0	1
20	72	生产、销售有毒、有害食品	2654	0	0	2	1	1	1	1	2	0	1
21	77	生产、销售不符合安全标准的食品	1369	0	0	2	1	1	1	1	2	0	1
22	91	虚报注册资本	54	0	1	1	1	1	1	1	1	0	1
23	106	隐匿、故意销毁会计凭证、会计帐簿、财务会计报告	31	0	1	1	1	1	1	1	1	0	1
24	117	出售、购买、运输假币	121	0	0	1	1	1	1	1	1	0	1
25	119	持有、使用假币	246	0	1	1	1	1	1	2	1	0	1
26	123	高利转贷	14	0	2	1	1	1	1	1	1	0	1
27	124	非法吸收公众存款	1616	0	2	1	1	1	1	1	1	0	1
28	125	伪造、变造金融票证	110	0	1	1	1	1	1	1	1	0	1
29	135	违法发放贷款	97	0	2	1	1	1	1	1	1	0	1
30	142	骗取贷款、票据承兑、金融票证	864	0	1	1	1	1	1	0	1	0	1
31	143	妨害信用卡管理	709	0	2	1	1	1	1	2	1	0	1
32	144	窃取、收买、非法提供信用卡信息	15	0	2	1	1	1	1	1	1	0	1
33	165	虚开增值税专用发票、用于骗取出口退税、抵扣税款发票	2807	0	1	1	1	1	1	1	1	0	1
34	170	非法制造、出售非法制造的发票	66	0	0	1	1	1	1	1	1	0	1
35	172	非法出售发票	69	0	0	1	1	1	1	1	1	0	1
36	173	逃税	58	0	1	1	1	1	1	1	1	0	1
37	174	持有伪造的发票	471	1	1	1	1	1	1	0	1	0	1
38	175	虚开发票	566	0	1	1	1	1	1	1	1	0	1
39	177	假冒注册商标	862	0	1	1	1	1	1	1	1	0	1
40	179	非法制造、销售非法制造的注册商标标识	42	0	0	1	1	1	1	1	1	0	1
41	181	侵犯著作权	592	0	0	1	1	1	1	1	1	0	1
42	187	串通投标	108	0	1	1	1	1	1	1	1	0	1
43	189	非法经营	4697	0	0	1	1	1	1	1	1	0	1
44	190	强迫交易	259	0	0	1	0	1	1	1	1	0	1
45	191	伪造、倒卖伪造的有价票证	21	0	0	1	1	1	1	1	1	0	1
46	193	非法转让、倒卖土地使用权	185	0	0	1	1	1	1	1	1	0	1
47	199	组织、领导传销活动	780	0	1	1	2	1	1	1	1	0	1
48	201	故意杀人	1039	1	1	0	0	1	2	1	1	0	1
49	202	过失致人死亡	2380	1	1	0	0	1	2	1	1	1	1
50	203	故意伤害	118186	1	1	1	0	1	2	1	0	0	1
51	204	过失致人重伤	514	1	1	1	0	1	2	1	0	1	1
52	205	强奸	1644	1	1	2	0	1	2	1	2	0	1
53	207	强制猥亵、侮辱妇女	234	1	1	1	0	1	2	1	1	0	1
54	208	猥亵儿童	339	1	1	1	0	1	2	1	1	0	1
55	209	非法拘禁	8971	1	1	2	2	1	1	1	2	0	1
56	210	绑架	223	1	1	2	0	1	1	1	2	0	1
57	211	拐卖妇女、儿童	426	0	0	2	2	1	2	1	2	0	1
58	212	收买被拐卖的妇女、儿童	37	1	0	1	1	1	1	1	1	0	1
59	214	诬告陷害	132	1	1	1	1	1	1	1	1	0	1
60	217	非法侵入住宅	1077	1	1	1	1	2	1	1	1	0	1
61	218	侮辱	32	1	1	1	2	1	0	1	1	0	1
62	233	重婚	708	1	1	1	1	1	1	1	1	0	1
63	235	虐待	13	1	1	2	0	1	1	1	2	0	1
